Principal Investigator,Institution,Project Title,Primary Type of Research,Secondary Type of Research (if applicable),Primary Research Area,Secondary Research Area (if applicable),Keywords Freeform,Keywords
Full Name,University Name,,Basic/Fundamental,Please Select,Cognition,Sensory Systems,,"Cognitive neuroscience;Computation, Modeling, and Simulation;Computer Vision and Pattern Recognition"
Full Name,University Name,,Basic/Fundamental,Knowledge Translation,Development,Please Select,"translation, protein homeostasis",Axon and Dendrite Development;Hippocampal neuron;mRNA expression
Full Name,University Name,,Basic/Fundamental,Translational,Integrative Physiology and Behaviour,Please Select,"rostral linear nucleus, thalamus, lateral habenula, DREADD, ketamine, psilocybin",Depression;Neural network
Full Name,University Name,,Basic/Fundamental,Please Select,Sensory Systems,Integrative Physiology and Behaviour,,Circadian rhythm;Immunology;Microglia;Neuroimmunology;Pain;Spinal cord and/or spinal cord injury
Full Name,University Name,,Basic/Fundamental,Translational,Cognition,Sensory Systems,,Artificial Intelligence;Auditory system;Brain-Machine Interface;Magnetoencephalography;Memory
Full Name,University Name,,Basic/Fundamental,Please Select,Development,Please Select,,Cell death;Cellular and Molecular Neuroscience;Developmental Neuroscience;Hippocampus;Neurodevelopmental disorder
Full Name,University Name,,Translational,Please Select,Neurodegenerative Disorders and Injury,Please Select,"Microbubbles, Ultrasound Contrast, Focused Ultrasound, Therapeutic Ultrasound",Blood-brain barrier;Endothelial cells;Glioblastoma;Neurooncology
Full Name,University Name,,Clinical,Basic/Fundamental,Cognition,Integrative Physiology and Behaviour,,"Behavioural state disorders;Cognitive neuroscience;Connectivity;Critical and Intensive Care;Pediatrics, perinatology, and child health"
Full Name,University Name,,Basic/Fundamental,Please Select,Sensory Systems,"Neural Excitability, Synapses, and Glia",Neuro-Immunology. Immunosurveillance. Immune exhaustion.,Cancer;Neuroinflammation;Pain
Full Name,University Name,,Translational,Basic/Fundamental,Neurodegenerative Disorders and Injury,Please Select,remote locations; point-of-care; early access; underserved populations,Assessment and Diagnosis;Magnetic Resonance Imaging (MRI);Multiple sclerosis (MS)
Full Name,University Name,,Basic/Fundamental,Translational,"Neural Excitability, Synapses, and Glia",Please Select,"Axon Initial Segment; Palmitoylation; Neuronal Excitability, Nav channels",Action potential;Ion channel
Full Name,University Name,,Basic/Fundamental,Please Select,Motor Systems,Integrative Physiology and Behaviour,two-photon imaging; inhibitory neurons; RNAseq,Cortical neurons;Motor learning;Neural circuit;Neuroimaging;Transcription factor
Full Name,University Name,,Clinical,Please Select,"Neural Excitability, Synapses, and Glia",Motivation and Emotion,,Bipolar Disorder;Endocannabinoids;Neuroimaging;Positron Emission Tomography (PET)
Full Name,University Name,,Basic/Fundamental,Please Select,"Neural Excitability, Synapses, and Glia",Neurodegenerative Disorders and Injury,,Alzheimer's disease;Hippocampus;Memory;Signalling molecules and pathways;Synaptic plasticity
Full Name,University Name,,Basic/Fundamental,Please Select,Neurodegenerative Disorders and Injury,Please Select,tau; chaperone; tauopathies; Mild Cognitive Impairment,Alzheimer's disease;Protein aggregation
Full Name,University Name,,Basic/Fundamental,Please Select,Motivation and Emotion,Please Select,social network; environmental enrichment,Behavioural neuroscience;Depression;Mouse model
Full Name,University Name,,Basic/Fundamental,Clinical,Development,Cognition,,Developmental disorders or disabilities;Developmental Neuroscience;Functional neuroimaging
Full Name,University Name,,Clinical,Clinical,Neurodegenerative Disorders and Injury,Neurodegenerative Disorders and Injury,"Hippocampal subfields, mild cognitive impairment,",Alzheimer's disease;Dementia;Hippocampus;Magnetic Resonance Imaging (MRI)
Full Name,University Name,,Clinical,Translational,Motivation and Emotion,Integrative Physiology and Behaviour,"Nitrous Oxide, Major Depressive Disorder, Treatment Resistant Depression, novel antidepressants",Anesthesiology;Clinical trial;Depression;Psychopharmacology
Full Name,University Name,,Translational,Basic/Fundamental,Development,Neurodegenerative Disorders and Injury,medulloblastoma; sonic hedgehog,"Cancer;Cerebellum;Neurodevelopmental disorder;Pediatrics, perinatology, and child health;Radiation"
Full Name,University Name,,Basic/Fundamental,Please Select,Cognition,"Neural Excitability, Synapses, and Glia","Memory Consolidation, Computational Neuroscience, Mathematical Modelling",Episodic memory;Hippocampus;Long term memory;Memory
Full Name,University Name,,Basic/Fundamental,Translational,Development,"Neural Excitability, Synapses, and Glia","Neurodevelopment, neurodevelopmental disorders, CRISPR, organoids, pluripotent stem cells, neurons, neural stem cells, autism, gene editing",Autism and ASD;Neurodevelopmental disorder
